host_original	host_final	host_group	records	normalization_rule	changed
Lepidochelys olivacea	Lepidochelys olivacea		65	UNCHANGED	NO
Mus musculus	Mus musculus		64	UNCHANGED	NO
Halichoerus grypus	Halichoerus grypus		62	UNCHANGED	NO
sheep	sheep		60	UNCHANGED	NO
Aborted fetus (Yili horse)	Aborted fetus (Yili horse)		59	UNCHANGED	NO
Bovine	Bovine		57	UNCHANGED	NO
Capra hircus	Capra hircus		55	UNCHANGED	NO
cow	cow		53	UNCHANGED	NO
Callithrix	Callithrix		52	UNCHANGED	NO
Panthera tigris altaica	Panthera tigris altaica		52	UNCHANGED	NO
Stenella coeruleoalba	Stenella coeruleoalba		52	UNCHANGED	NO
roe deer	Roe deer		50	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Aborted foal	Aborted foal		49	UNCHANGED	NO
Pteropus sp.	Pteropus sp.		47	UNCHANGED	NO
cat	cat		45	UNCHANGED	NO
Chlorocebus sabaeus	Chlorocebus sabaeus		43	UNCHANGED	NO
Oryctolagus cuniculus algirus	Oryctolagus cuniculus algirus		42	UNCHANGED	NO
Elephas maximus indicus	Elephas maximus indicus		41	UNCHANGED	NO
Ovis aries	Ovis aries		40	UNCHANGED	NO
goat	goat		40	UNCHANGED	NO
Homo sapiens (hematopoietic stem cell transplant recipient)	Homo sapiens (hematopoietic stem cell transplant recipient)		39	UNCHANGED	NO
wild boar	Wild boar		39	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
donkey	donkey		38	UNCHANGED	NO
white-tailed deer	White-tailed deer		37	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Desmodus rotundus	Desmodus rotundus		36	UNCHANGED	NO
Ovibos moschatus	Ovibos moschatus		36	UNCHANGED	NO
Pig	Pig		35	UNCHANGED	NO
Meleagris gallopavo	Meleagris gallopavo		33	UNCHANGED	NO
Rangifer tarandus	Rangifer tarandus		33	UNCHANGED	NO
Sheldrake duck	Sheldrake duck		33	UNCHANGED	NO
Rhinolophus ferrumequinum	Rhinolophus ferrumequinum		32	UNCHANGED	NO
backyard chicken	Backyard chicken		32	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
turkey	turkey		32	UNCHANGED	NO
Pteropus vampyrus	Pteropus vampyrus		31	UNCHANGED	NO
buffalo	buffalo		31	UNCHANGED	NO
domestic chicken (Gallus gallus domesticus)	domestic chicken (Gallus gallus domesticus)		31	UNCHANGED	NO
fox	fox		30	UNCHANGED	NO
Indotestudo elongata	Indotestudo elongata		29	UNCHANGED	NO
Macronycteris vittatus	Macronycteris vittatus		29	UNCHANGED	NO
Martes americana	Martes americana		29	UNCHANGED	NO
feline	feline		29	UNCHANGED	NO
Gorilla beringei beringei	Gorilla beringei beringei		28	UNCHANGED	NO
Sus scrofa (wild boar)	Sus scrofa (wild boar)		28	UNCHANGED	NO
layer chicken	Layer chicken		28	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Mastomys natalensis	Mastomys natalensis		26	UNCHANGED	NO
Rangifer tarandus tarandus (reindeer)	Rangifer tarandus tarandus (reindeer)		26	UNCHANGED	NO
Saimiri boliviensis boliviensis	Saimiri boliviensis boliviensis		26	UNCHANGED	NO
felis catus	Felis catus		26	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Clethrionomys glareolus	Clethrionomys glareolus		25	UNCHANGED	NO
Tursiops truncatus	Tursiops truncatus		25	UNCHANGED	NO
mink	mink		25	UNCHANGED	NO
Apodemus flavicollis	Apodemus flavicollis		24	UNCHANGED	NO
Arabian thoroughbred horse	Arabian thoroughbred horse		24	UNCHANGED	NO
Rattus norvegicus	Rattus norvegicus		24	UNCHANGED	NO
Thoroughbred horse	Thoroughbred horse		23	UNCHANGED	NO
Pongo pygmaeus	Pongo pygmaeus		22	UNCHANGED	NO
Canis lupus familiaris (domestic dog)	Canis lupus familiaris (domestic dog)		21	UNCHANGED	NO
Galus gallus	Galus gallus		21	UNCHANGED	NO
Layer	Layer		21	UNCHANGED	NO
Mule duck	Mule duck		21	UNCHANGED	NO
Caretta caretta	Caretta caretta		20	UNCHANGED	NO
Homo sapiens; sex: male	Homo sapiens		20	TRUNCATE_AT_FIRST_SEMICOLON	YES
canine	canine		20	UNCHANGED	NO
Columba livia domestica (Domestic pigeon)	Columba livia domestica (Domestic pigeon)		19	UNCHANGED	NO
Gallus gallus breed white leghorn	Gallus gallus breed white leghorn		19	UNCHANGED	NO
Gyps indicus	Gyps indicus		19	UNCHANGED	NO
Megaptera novaeangliae	Megaptera novaeangliae		19	UNCHANGED	NO
Tadarida brasiliensis	Tadarida brasiliensis		19	UNCHANGED	NO
Muscovy duck	Muscovy duck		18	UNCHANGED	NO
Pan troglodytes	Pan troglodytes		18	UNCHANGED	NO
Testudo hermanni	Testudo hermanni		18	UNCHANGED	NO
Yili horse	Yili horse		18	UNCHANGED	NO
plains zebra	Plains zebra		18	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
yak	yak		18	UNCHANGED	NO
Buffalo	Buffalo		17	UNCHANGED	NO
Delphinus delphis	Delphinus delphis		17	UNCHANGED	NO
Macaca fuscata	Macaca fuscata		17	UNCHANGED	NO
Phoca vitulina	Phoca vitulina		17	UNCHANGED	NO
Rhinolophus pusillus	Rhinolophus pusillus		17	UNCHANGED	NO
Helarctus malayanus (sun bear)	Helarctus malayanus (sun bear)		16	UNCHANGED	NO
Psittacidae	Psittacidae		16	UNCHANGED	NO
broiler chicken	Broiler chicken		16	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
elephant	elephant		15	UNCHANGED	NO
layers	layers		15	UNCHANGED	NO
Elephant	Elephant		14	UNCHANGED	NO
English thoroughbred horse	English thoroughbred horse		14	UNCHANGED	NO
Mus domesticus	Mus domesticus		14	UNCHANGED	NO
Papio sp.	Papio sp.		14	UNCHANGED	NO
Layer chicken	Layer chicken		13	UNCHANGED	NO
Saimiri sciureus	Saimiri sciureus		13	UNCHANGED	NO
Setonix brachyurus	Setonix brachyurus		13	UNCHANGED	NO
commercial chickens	Commercial chickens		13	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
foal	foal		13	UNCHANGED	NO
sea lion	Sea lion		13	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Arabian horse	Arabian horse		12	UNCHANGED	NO
Felis sp.	Felis sp.		12	UNCHANGED	NO
Gallus gallus domesticus	Gallus gallus domesticus		12	UNCHANGED	NO
racoondog	racoondog		12	UNCHANGED	NO
Equus grevyi	Equus grevyi		11	UNCHANGED	NO
Sika deer (Cervus nippon)	Sika deer (Cervus nippon)		11	UNCHANGED	NO
Stenella coeruleoalba; male	Stenella coeruleoalba		11	TRUNCATE_AT_FIRST_SEMICOLON	YES
hunting dog	Hunting dog		11	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
pigs	pigs		11	UNCHANGED	NO
Cercopithecus aethiops	Cercopithecus aethiops		10	UNCHANGED	NO
Dobsonia moluccensi	Dobsonia moluccensi		10	UNCHANGED	NO
Gallus gallus breed broiler	Gallus gallus breed broiler		10	UNCHANGED	NO
Lepus granatensis	Lepus granatensis		10	UNCHANGED	NO
Macaca nemestrina	Macaca nemestrina		10	UNCHANGED	NO
Molossus molossus	Molossus molossus		10	UNCHANGED	NO
Pan troglodytes troglodytes	Pan troglodytes troglodytes		10	UNCHANGED	NO
Sus scrofa domesticus	Sus scrofa domesticus		10	UNCHANGED	NO
Testudo horsfieldii	Testudo horsfieldii		10	UNCHANGED	NO
chicken; breed: layer	chicken		10	TRUNCATE_AT_FIRST_SEMICOLON	YES
tiger	tiger		10	UNCHANGED	NO
wild mice	Wild mice		10	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
wolf	wolf		10	UNCHANGED	NO
Ardops nichollsi	Ardops nichollsi		9	UNCHANGED	NO
Connochaetes taurinus	Connochaetes taurinus		9	UNCHANGED	NO
Eidolon dupraenum	Eidolon dupraenum		9	UNCHANGED	NO
Gallus gallus breed layer	Gallus gallus breed layer		9	UNCHANGED	NO
Gorilla gorilla gorilla	Gorilla gorilla gorilla		9	UNCHANGED	NO
Holstein cattle	Holstein cattle		9	UNCHANGED	NO
Homo Sapiens 2 months old boy	Homo sapiens 2 months old boy		9	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Homo sapiens; nasopharyngeal carcinoma patient	Homo sapiens		9	TRUNCATE_AT_FIRST_SEMICOLON	YES
Psittacula krameri	Psittacula krameri		9	UNCHANGED	NO
Saimiri sp.; female	Saimiri sp.		9	TRUNCATE_AT_FIRST_SEMICOLON	YES
Stenella frontalis	Stenella frontalis		9	UNCHANGED	NO
Turdus philomelos	Turdus philomelos		9	UNCHANGED	NO
cheetah	cheetah		9	UNCHANGED	NO
Alces alces	Alces alces		8	UNCHANGED	NO
Columba livia	Columba livia		8	UNCHANGED	NO
Felis domesticus breed Van cat	Felis domesticus breed Van cat		8	UNCHANGED	NO
Pudu puda	Pudu puda		8	UNCHANGED	NO
Tadarida teniotis	Tadarida teniotis		8	UNCHANGED	NO
Vero cell line	Vero cell line		8	UNCHANGED	NO
beef cattle	Beef cattle		8	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
calf	calf		8	UNCHANGED	NO
chicken breed brolier	chicken breed brolier		8	UNCHANGED	NO
domestic swine	Domestic swine		8	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
layer chickens	Layer chickens		8	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
milch cow	Milch cow		8	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
vaccinated Indian native punjab broiler chicken breed	vaccinated Indian native punjab broiler chicken breed		8	UNCHANGED	NO
water buffalo	Water buffalo		8	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Alouatta	Alouatta		7	UNCHANGED	NO
Amazona aestiva	Amazona aestiva		7	UNCHANGED	NO
Connochaetes taurinus taurinus	Connochaetes taurinus taurinus		7	UNCHANGED	NO
Equus asinus	Equus asinus		7	UNCHANGED	NO
Gallus	Gallus		7	UNCHANGED	NO
Gallus domesticus	Gallus domesticus		7	UNCHANGED	NO
Hipposideros larvatus	Hipposideros larvatus		7	UNCHANGED	NO
Kirk's dik-dik	Kirk's dik-dik		7	UNCHANGED	NO
Myotis davidii	Myotis davidii		7	UNCHANGED	NO
Odocoileus hemionus	Odocoileus hemionus		7	UNCHANGED	NO
Rousettus aegyptiacus	Rousettus aegyptiacus		7	UNCHANGED	NO
South China tiger	South China tiger		7	UNCHANGED	NO
Tadarida brasiliensis (bat)	Tadarida brasiliensis (bat)		7	UNCHANGED	NO
indigenous chicken	Indigenous chicken		7	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
pigeon	pigeon		7	UNCHANGED	NO
piglet	piglet		7	UNCHANGED	NO
zebra	zebra		7	UNCHANGED	NO
Aotus nancymaae	Aotus nancymaae		6	UNCHANGED	NO
Aotus nancymaae; sex: female	Aotus nancymaae		6	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arctocephalus australis	Arctocephalus australis		6	UNCHANGED	NO
Bos indicus	Bos indicus		6	UNCHANGED	NO
Canis familiaris	Canis familiaris		6	UNCHANGED	NO
Cervus nippon	Cervus nippon		6	UNCHANGED	NO
Chelonia mydas (green turtle)	Chelonia mydas (green turtle)		6	UNCHANGED	NO
Cynomys ludovicianus (black-tailed prairie dog)	Cynomys ludovicianus (black-tailed prairie dog)		6	UNCHANGED	NO
Delphinapterus leucas (beluga whale)	Delphinapterus leucas (beluga whale)		6	UNCHANGED	NO
Domestic cat	Domestic cat		6	UNCHANGED	NO
Erythrocebus patas	Erythrocebus patas		6	UNCHANGED	NO
Gallus gallus breed Layer	Gallus gallus breed Layer		6	UNCHANGED	NO
Homo sapiens; female; 8 years old	Homo sapiens		6	TRUNCATE_AT_FIRST_SEMICOLON	YES
Loxodonta africana (African elephant)	Loxodonta africana (African elephant)		6	UNCHANGED	NO
Lynx rufus	Lynx rufus		6	UNCHANGED	NO
Macaca fuscata fuscata	Macaca fuscata fuscata		6	UNCHANGED	NO
Miniopterus schreibersii	Miniopterus schreibersii		6	UNCHANGED	NO
Monodon monoceros	Monodon monoceros		6	UNCHANGED	NO
Myodes glareolus	Myodes glareolus		6	UNCHANGED	NO
Oryctolagus cuniculus cuniculus	Oryctolagus cuniculus cuniculus		6	UNCHANGED	NO
Pan paniscus	Pan paniscus		6	UNCHANGED	NO
Pan troglodytes verus	Pan troglodytes verus		6	UNCHANGED	NO
Panthera tigris	Panthera tigris		6	UNCHANGED	NO
Porcine	Porcine		6	UNCHANGED	NO
Prionailurus bengalensis euptilurus	Prionailurus bengalensis euptilurus		6	UNCHANGED	NO
Rangifer tarandus (reindeer)	Rangifer tarandus (reindeer)		6	UNCHANGED	NO
Rattus rattus	Rattus rattus		6	UNCHANGED	NO
Sapajus sp.; female	Sapajus sp.		6	TRUNCATE_AT_FIRST_SEMICOLON	YES
Sturnira angeli	Sturnira angeli		6	UNCHANGED	NO
Tadarida brasiliensis bat	Tadarida brasiliensis bat		6	UNCHANGED	NO
Taihang Chicken	Taihang chicken		6	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Tursiops truncatus (Atlantic bottlenose dolphin)	Tursiops truncatus (Atlantic bottlenose dolphin)		6	UNCHANGED	NO
Urocitellus richardsonii	Urocitellus richardsonii		6	UNCHANGED	NO
Ursus maritimus	Ursus maritimus		6	UNCHANGED	NO
broilers, layers	broilers, layers		6	UNCHANGED	NO
bull; sex: male	bull		6	TRUNCATE_AT_FIRST_SEMICOLON	YES
chicken; breed: Layer	chicken		6	TRUNCATE_AT_FIRST_SEMICOLON	YES
cow; female	cow		6	TRUNCATE_AT_FIRST_SEMICOLON	YES
dorcas gazelle	Dorcas gazelle		6	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
green turtle Cm	Green turtle Cm		6	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
olive ridley turtle Lo	Olive ridley turtle Lo		6	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
poultry	poultry		6	UNCHANGED	NO
vaccinated Indian Native Punjab Broiler Chicken breed	vaccinated Indian Native Punjab Broiler Chicken breed		6	UNCHANGED	NO
wild ass	Wild ass		6	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Aotus nancymaae; sex: male	Aotus nancymaae		5	TRUNCATE_AT_FIRST_SEMICOLON	YES
Apodemus sylvaticus	Apodemus sylvaticus		5	UNCHANGED	NO
Aratinga leucophthalmus	Aratinga leucophthalmus		5	UNCHANGED	NO
Arctocephalus gazella	Arctocephalus gazella		5	UNCHANGED	NO
Bos indicus x Bos taurus	Bos indicus x Bos taurus		5	UNCHANGED	NO
Bubalus bubalis (Northern territory buffalo)	Bubalus bubalis (Northern territory buffalo)		5	UNCHANGED	NO
Capreolus capreolus	Capreolus capreolus		5	UNCHANGED	NO
Cavia porcellus	Cavia porcellus		5	UNCHANGED	NO
Cervus canadensis	Cervus canadensis		5	UNCHANGED	NO
Chelonia mydas (green sea turtle)	Chelonia mydas (green sea turtle)		5	UNCHANGED	NO
Eptesicus isabellinus	Eptesicus isabellinus		5	UNCHANGED	NO
Erinaceus europaeus	Erinaceus europaeus		5	UNCHANGED	NO
Felis catus; Tekir	Felis catus		5	TRUNCATE_AT_FIRST_SEMICOLON	YES
Gallus gallus; breed: layer chicken	Gallus gallus		5	TRUNCATE_AT_FIRST_SEMICOLON	YES
Gorilla gorilla	Gorilla gorilla		5	UNCHANGED	NO
Homo sapiens; newborn	Homo sapiens		5	TRUNCATE_AT_FIRST_SEMICOLON	YES
Horse-Native-breed	Horse-Native-breed		5	UNCHANGED	NO
Indian rhinoceros	Indian rhinoceros		5	UNCHANGED	NO
Lepidochelys kempii	Lepidochelys kempii		5	UNCHANGED	NO
Lepus europaeus	Lepus europaeus		5	UNCHANGED	NO
Mandrillus sphinx	Mandrillus sphinx		5	UNCHANGED	NO
Myotis sp.	Myotis sp.		5	UNCHANGED	NO
Pithecia pithecia	Pithecia pithecia		5	UNCHANGED	NO
Rattus norvegicus (brown rat)	Rattus norvegicus (brown rat)		5	UNCHANGED	NO
Saguinus midas	Saguinus midas		5	UNCHANGED	NO
Sciurus vulgaris	Sciurus vulgaris		5	UNCHANGED	NO
bull	bull		5	UNCHANGED	NO
bull; male	bull		5	TRUNCATE_AT_FIRST_SEMICOLON	YES
cow; sex: female	cow		5	TRUNCATE_AT_FIRST_SEMICOLON	YES
dairy cow	Dairy cow		5	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
indigenous duck	Indigenous duck		5	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
ovine	ovine		5	UNCHANGED	NO
turtle	turtle		5	UNCHANGED	NO
vaccinated Indian native aseel chicken breed	vaccinated Indian native aseel chicken breed		5	UNCHANGED	NO
yellow chicken	Yellow chicken		5	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Akhal-teke horse (foal)	Akhal-teke horse (foal)		4	UNCHANGED	NO
Anas platyrhynchos	Anas platyrhynchos		4	UNCHANGED	NO
Aratinga aurea	Aratinga aurea		4	UNCHANGED	NO
Arctocephalus australis (South American fur seal); male	Arctocephalus australis (South American fur seal)		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arctocephalus tropicalis (Subantarctic fur seal); male	Arctocephalus tropicalis (Subantarctic fur seal)		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Asian Elephant	Asian elephant		4	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
Balaenoptera acutorostrata	Balaenoptera acutorostrata		4	UNCHANGED	NO
Bandicota indica	Bandicota indica		4	UNCHANGED	NO
Bison bonasus	Bison bonasus		4	UNCHANGED	NO
Callorhinus ursinus; female	Callorhinus ursinus		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Callosciurus erythraeus	Callosciurus erythraeus		4	UNCHANGED	NO
Carollia perspicillata	Carollia perspicillata		4	UNCHANGED	NO
Cebus capucinus	Cebus capucinus		4	UNCHANGED	NO
Cervus alfredi	Cervus alfredi		4	UNCHANGED	NO
Chlorocebus aethiops	Chlorocebus aethiops		4	UNCHANGED	NO
Colobus guereza	Colobus guereza		4	UNCHANGED	NO
Diphylla ecaudata	Diphylla ecaudata		4	UNCHANGED	NO
Equus caballus breed Thoroughbred	Equus caballus breed Thoroughbred		4	UNCHANGED	NO
Equus caballus breed Yili	Equus caballus breed Yili		4	UNCHANGED	NO
Equus caballus; Arabian horse	Equus caballus		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Equus grevyi (Grevy's zebra)	Equus grevyi (Grevy's zebra)		4	UNCHANGED	NO
Felis catus (cat)	Felis catus (cat)		4	UNCHANGED	NO
Gazella thomsoni	Gazella thomsoni		4	UNCHANGED	NO
Giraffa camelopardalis reticulata	Giraffa camelopardalis reticulata		4	UNCHANGED	NO
Glossophaga soricina	Glossophaga soricina		4	UNCHANGED	NO
Grampus griseus	Grampus griseus		4	UNCHANGED	NO
Homo sapiens, juvenile blood	Homo sapiens, juvenile blood		4	UNCHANGED	NO
Homo sapiens; 40-year old man	Homo sapiens		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 42 year-old	Homo sapiens		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 3 years old	Homo sapiens		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; male; 7 years old	Homo sapiens		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Human subjects	Human subjects		4	UNCHANGED	NO
Lepus granatensis; sex: male	Lepus granatensis		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
Lepus timidus	Lepus timidus		4	UNCHANGED	NO
Macropus giganteus	Macropus giganteus		4	UNCHANGED	NO
Meles meles (European badger)	Meles meles (European badger)		4	UNCHANGED	NO
Mesoplodon densirostris	Mesoplodon densirostris		4	UNCHANGED	NO
Miniopterus schreibersii (Schreibers's long-fingered bat)	Miniopterus schreibersii (Schreibers's long-fingered bat)		4	UNCHANGED	NO
Oryctolagus cuniculus	Oryctolagus cuniculus		4	UNCHANGED	NO
Ovis canadensis	Ovis canadensis		4	UNCHANGED	NO
Pan troglodytes ellioti	Pan troglodytes ellioti		4	UNCHANGED	NO
Pan troglodytes schweinfurthii	Pan troglodytes schweinfurthii		4	UNCHANGED	NO
Rainbow lorikeet	Rainbow lorikeet		4	UNCHANGED	NO
Red deer (Cervus elaphus)	Red deer (Cervus elaphus)		4	UNCHANGED	NO
Sciurus carolinensis	Sciurus carolinensis		4	UNCHANGED	NO
Stenella frontalis (Atlantic spotted dolphin)	Stenella frontalis (Atlantic spotted dolphin)		4	UNCHANGED	NO
Tadarida brasiliensis (Brazilian free-tailed bat)	Tadarida brasiliensis (Brazilian free-tailed bat)		4	UNCHANGED	NO
Tursiops truncatus (Bottlenose dolphin)	Tursiops truncatus (Bottlenose dolphin)		4	UNCHANGED	NO
Zalophus californianus	Zalophus californianus		4	UNCHANGED	NO
Ziphius cavirostris	Ziphius cavirostris		4	UNCHANGED	NO
aborted donkey	Aborted donkey		4	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
avian	avian		4	UNCHANGED	NO
breeders	breeders		4	UNCHANGED	NO
bull; Frieswal	bull		4	TRUNCATE_AT_FIRST_SEMICOLON	YES
cattle with reproductive disorder	cattle with reproductive disorder		4	UNCHANGED	NO
chickens	chickens		4	UNCHANGED	NO
greyhound	greyhound		4	UNCHANGED	NO
harbor porpoise	Harbor porpoise		4	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
rhesus macaques	Rhesus macaques		4	STANDARDIZE_FIRST_TWO_TERMS_FROM_OBSERVED_PAIR	YES
African Green Monkey	African Green Monkey		3	UNCHANGED	NO
African green monkey	African green monkey		3	UNCHANGED	NO
Amazona oratrix	Amazona oratrix		3	UNCHANGED	NO
Aotus sp.; male	Aotus sp.		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Arabian horses	Arabian horses		3	UNCHANGED	NO
Asian elephant	Asian elephant		3	UNCHANGED	NO
Ateles paniscus	Ateles paniscus		3	UNCHANGED	NO
Backyard chicken	Backyard chicken		3	UNCHANGED	NO
Bison bison	Bison bison		3	UNCHANGED	NO
Boobok owl	Boobok owl		3	UNCHANGED	NO
Broiler breeder	Broiler breeder		3	UNCHANGED	NO
Canis lupis	Canis lupis		3	UNCHANGED	NO
Capra hircus (goat)	Capra hircus (goat)		3	UNCHANGED	NO
Capra nubiana	Capra nubiana		3	UNCHANGED	NO
Cebus apella	Cebus apella		3	UNCHANGED	NO
Cercopithecus kandti	Cercopithecus kandti		3	UNCHANGED	NO
Cervus	Cervus		3	UNCHANGED	NO
Cervus elaphus	Cervus elaphus		3	UNCHANGED	NO
Cervus timorensis	Cervus timorensis		3	UNCHANGED	NO
Crested pigeon	Crested pigeon		3	UNCHANGED	NO
Damaliscus lunatus jimela	Damaliscus lunatus jimela		3	UNCHANGED	NO
Diaemus youngi	Diaemus youngi		3	UNCHANGED	NO
Donkey	Donkey		3	UNCHANGED	NO
Eidolon helvum	Eidolon helvum		3	UNCHANGED	NO
Elaphurus davidianus	Elaphurus davidianus		3	UNCHANGED	NO
Elephas maximus; 2 year old captive born male	Elephas maximus		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Elephas maximus; male	Elephas maximus		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Equus asinus africanus	Equus asinus africanus		3	UNCHANGED	NO
Escherichia coli	Escherichia coli		3	UNCHANGED	NO
Felis catus; Angara	Felis catus		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Gallus gallus domesticus (Creole Hen)	Gallus gallus domesticus (Creole Hen)		3	UNCHANGED	NO
Gallus gallus domesticus (chicken)	Gallus gallus domesticus (chicken)		3	UNCHANGED	NO
Goat(Capra aegagrus hircus)	Goat(Capra aegagrus hircus)		3	UNCHANGED	NO
Gouldian finch	Gouldian finch		3	UNCHANGED	NO
Holstein cow	Holstein cow		3	UNCHANGED	NO
Homo sapeins	Homo sapeins		3	UNCHANGED	NO
Homo sapiens; female; 16 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 31 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 65 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
Homo sapiens; female; 7 years old	Homo sapiens		3	TRUNCATE_AT_FIRST_SEMICOLON	YES
